user_input,icon_label,category,confidence_score,source
go trip,ic_car,travel,0.9,keyword_variation
project call,ic_briefcase_line,work,0.8,template_generated
presentation,ic_briefcase_line,work,1.0,direct_keyword
go writing,ic_briefcase_line,work,0.9,keyword_variation
afternoon course,ic_note,learning,0.7,contextual
employment review,ic_briefcase_line,work,0.8,template_generated
legal session,ic_briefcase_line,work,0.9,keyword_variation
morning therapy,ic_health,health,0.7,contextual
takeout eat,ic_utensils_line,food,0.8,template_generated
book materials,ic_note,learning,0.8,template_generated
evening play,ic_tv,entertainment,0.8,template_generated
daily career,ic_briefcase_line,work,0.8,template_generated
basketball session,ic_run,exercise,0.9,keyword_variation
afternoon medicine,ic_health,health,0.7,contextual
morning run,ic_run,exercise,0.8,template_generated
urgent therapy,ic_health,health,0.8,template_generated
go pharmacy,ic_health,health,0.9,keyword_variation
travel adventure,ic_car,travel,0.8,template_generated
job session,ic_briefcase_line,work,0.9,keyword_variation
30 minute career,ic_briefcase_line,work,0.7,contextual
seminar session,ic_note,learning,0.9,keyword_variation
30 minute checkup,ic_health,health,0.7,contextual
go sandwich,ic_utensils_line,food,0.9,keyword_variation
favorite leisure,ic_tv,entertainment,0.8,template_generated
go jpice,ic_utensils_line,food,0.81,keyword_variation_typo
15 minute bus,ic_car,travel,0.7,contextual
homemade dinner,ic_utensils_line,food,0.8,template_generated
oficina,ic_briefcase_line,work,0.9,multilingual_spanish
go talk,ic_people,social,0.9,keyword_variation
15 minute walk,ic_run,exercise,0.8,template_generated
go cooking,ic_utensils_line,food,0.9,keyword_variation
much needed dream,ic_moon_line,sleep,0.8,template_generated
rice,ic_utensils_line,food,1.0,direct_keyword
weights session,ic_run,exercise,0.9,keyword_variation
social gathering,ic_people,social,0.8,template_generated
conversation sessikn,ic_people,social,0.81,keyword_variation_typo
enjoying movie,ic_tv,entertainment,0.8,template_generated
road,ic_car,travel,1.0,direct_keyword
evening snack,ic_utensils_line,food,0.7,contextual
review,ic_briefcase_line,work,1.0,direct_keyword
quiet session,ic_moon_line,sleep,0.9,keyword_variation
late night health,ic_health,health,0.7,contextual
evening dinner,ic_utensils_line,food,0.7,contextual
netflix session,ic_tv,entertainment,0.9,keyword_variation
1 hour breakfast,ic_utensils_line,food,0.7,contextual
checkup session,ic_health,health,0.9,keyword_variation
bedroom,ic_moon_line,sleep,1.0,direct_keyword
late night sleep,ic_moon_line,sleep,0.7,contextual
15 minute checkup,ic_health,health,0.7,contextual
late night meeting,ic_briefcase_line,work,0.7,contextual
bike at the gym,ic_run,exercise,0.8,template_generated
late night book,ic_note,learning,0.7,contextual
legal,ic_briefcase_line,work,1.0,direct_keyword
1 hour course,ic_note,learning,0.7,contextual
leisure session,ic_tv,entertainment,0.9,keyword_variation
appointment consultation,ic_health,health,0.8,template_generated
group gathering,ic_people,social,0.8,template_generated
relaxing entertainment,ic_tv,entertainment,0.8,template_generated
quick tired,ic_moon_line,sleep,0.8,template_generated
yoga,ic_run,exercise,1.0,direct_keyword
weekend game,ic_tv,entertainment,0.8,template_generated
audit session,ic_briefcase_line,work,0.9,keyword_variation
client project,ic_briefcase_line,work,0.8,template_generated
tennis,ic_run,exercise,1.0,direct_keyword
party,ic_people,social,1.0,direct_keyword
evening flight,ic_car,travel,0.7,contextual
getting some rest,ic_moon_line,sleep,0.8,template_generated
45 hours of bedroom,ic_moon_line,sleep,0.8,template_generated
early morning office,ic_briefcase_line,work,0.7,contextual
breakfast,ic_utensils_line,food,1.0,direct_keyword
morning rest,ic_moon_line,sleep,0.7,contextual
early morning game,ic_tv,entertainment,0.7,contextual
go walk,ic_run,exercise,0.9,keyword_variation
go prevention,ic_health,health,0.9,keyword_variation
office meeting,ic_briefcase_line,work,0.8,template_generated
leisure,ic_tv,entertainment,1.0,direct_keyword
business lunch,ic_briefcase_line,work,0.6,realistic_pattern
deadline,ic_briefcase_line,work,1.0,direct_keyword
15 minute study,ic_note,learning,0.7,contextual
30 minute entertainment,ic_tv,entertainment,0.7,contextual
annual health,ic_health,health,0.8,template_generated
favorite video,ic_tv,entertainment,0.8,template_generated
evening bike,ic_run,exercise,0.8,template_generated
daily meeting,ic_briefcase_line,work,0.8,template_generated
training routine,ic_run,exercise,0.8,template_generated
late night workout,ic_run,exercise,0.7,contextual
health therapy,ic_health,health,0.8,template_generated
workout session,ic_run,exercise,0.9,keyword_variation
skill education,ic_note,learning,0.8,template_generated
afternoon book,ic_note,learning,0.7,contextual
go soccer,ic_run,exercise,0.9,keyword_variation
business transport,ic_car,travel,0.8,template_generated
entertainment session,ic_tv,entertainment,0.9,keyword_variation
learn group,ic_note,learning,0.8,template_generated
afternoon chat,ic_people,social,0.7,contextual
go assignment,ic_note,learning,0.9,keyword_variation
planning trip,ic_car,travel,0.8,template_generated
15 minute task,ic_briefcase_line,work,0.7,contextual
afternoon business,ic_briefcase_line,work,0.7,contextual
1 hour education,ic_note,learning,0.7,contextual
analysis,ic_briefcase_line,work,1.0,direct_keyword
having eat,ic_utensils_line,food,0.8,template_generated
health dentist,ic_health,health,0.8,template_generated
go task,ic_briefcase_line,work,0.9,keyword_variation
road drive,ic_car,travel,0.8,template_generated
book group,ic_note,learning,0.8,template_generated
quick journey,ic_car,travel,0.8,template_generated
morning transport,ic_car,travel,0.8,template_generated
afternoon run,ic_run,exercise,0.7,contextual
long vacation,ic_car,travel,0.8,template_generated
afternoon dinner,ic_utensils_line,food,0.7,contextual
having dinner,ic_utensils_line,food,0.8,template_generated
weekend bus,ic_car,travel,0.8,template_generated
celebration,ic_people,social,1.0,direct_keyword
rowing,ic_run,exercise,1.0,direct_keyword
meal prep sunday,ic_utensils_line,food,0.9,realistic_pattern
afternoon checkup,ic_health,health,0.7,contextual
1 hour office,ic_briefcase_line,work,0.7,contextual
fun play,ic_tv,entertainment,0.8,template_generated
university group,ic_note,learning,0.8,template_generated
15 minute read,ic_note,learning,0.7,contextual
vacation adventure,ic_car,travel,0.8,template_generated
1 hour visit,ic_people,social,0.7,contextual
drowsy session,ic_moon_line,sleep,0.9,keyword_variation
go juice,ic_utensils_line,food,0.9,keyword_variation
relaxing game,ic_tv,entertainment,0.8,template_generated
go learn,ic_note,learning,0.9,keyword_variation
evening gym,ic_run,exercise,0.8,template_generated
early morning project,ic_briefcase_line,work,0.7,contextual
morning commute,ic_car,travel,0.8,template_generated
grabbing meal,ic_utensils_line,food,0.8,template_generated
15 minute tired,ic_moon_line,sleep,0.7,contextual
drowsy,ic_moon_line,sleep,1.0,direct_keyword
code review,ic_briefcase_line,work,0.9,realistic_pattern
team session,ic_people,social,0.9,keyword_variation
preventive therapy,ic_health,health,0.8,template_generated
client session,ic_briefcase_line,work,0.9,keyword_variation
relaxing tv,ic_tv,entertainment,0.8,template_generated
getting some pillow,ic_moon_line,sleep,0.8,template_generated
go adventure,ic_tv,entertainment,0.9,keyword_variation
almoço,ic_utensils_line,food,0.9,multilingual_portuguese
deep night,ic_moon_line,sleep,0.8,template_generated
read group,ic_note,learning,0.8,template_generated
meal,ic_utensils_line,food,1.0,direct_keyword
afternoon gathering,ic_people,social,0.7,contextual
evening journey,ic_car,travel,0.7,contextual
30 hours of relax,ic_moon_line,sleep,0.8,template_generated
morning movie,ic_tv,entertainment,0.7,contextual
early morning course,ic_note,learning,0.7,contextual
book notes,ic_note,learning,0.8,template_generated
learn,ic_note,learning,1.0,direct_keyword
afternoon education,ic_note,learning,0.7,contextual
cooking break,ic_utensils_line,food,0.8,template_generated
morning doctor,ic_health,health,0.7,contextual
evening training,ic_run,exercise,0.8,template_generated
1 hour learn,ic_note,learning,0.7,contextual
research,ic_briefcase_line,work,1.0,direct_keyword
drive session,ic_car,travel,0.9,keyword_variation
early morning visit,ic_people,social,0.7,contextual
surgery,ic_health,health,1.0,direct_keyword
follow-up checkup,ic_health,health,0.8,template_generated
morning exercise,ic_run,exercise,0.8,template_generated
health checkup,ic_health,health,0.8,template_generated
radio,ic_tv,entertainment,1.0,direct_keyword
evening friends,ic_people,social,0.7,contextual
streaming session,ic_tv,entertainment,0.9,keyword_variation
peaceful rest,ic_moon_line,sleep,0.8,template_generated
homework notes,ic_note,learning,0.8,template_generated
project task,ic_briefcase_line,work,0.8,template_generated
bike routine,ic_run,exercise,0.8,template_generated
urgent doctor,ic_health,health,0.8,template_generated
quick transport,ic_car,travel,0.8,template_generated
1 hour journey,ic_car,travel,0.7,contextual
late night office,ic_briefcase_line,work,0.7,contextual
lunch session,ic_people,social,0.9,keyword_variation
go healing,ic_health,health,0.9,keyword_variation
go fitness.,ic_run,exercise,0.9,keyword_variation_punct
much needed nap,ic_moon_line,sleep,0.8,template_generated
exam research,ic_note,learning,0.8,template_generated
go document,ic_briefcase_line,work,0.9,keyword_variation
afternoon bed,ic_moon_line,sleep,0.8,template_generated
coffee,ic_utensils_line,food,1.0,direct_keyword
meal prep,ic_utensils_line,food,0.8,template_generated
early morning gathering,ic_people,social,0.7,contextual
youtube session,ic_tv,entertainment,0.9,keyword_variation
relaxing video,ic_tv,entertainment,0.8,template_generated
early morning dinner,ic_utensils_line,food,0.7,contextual
fun entertainment,ic_tv,entertainment,0.8,template_generated
early morning breakfast,ic_utensils_line,food,0.7,contextual
1 hour career,ic_briefcase_line,work,0.7,contextual
watching fun,ic_tv,entertainment,0.8,template_generated
15 minute video,ic_tv,entertainment,0.7,contextual
chat with friends,ic_people,social,0.8,template_generated
practice session,ic_note,learning,0.9,keyword_variation
1 hour medicine,ic_health,health,0.7,contextual
medical visit,ic_health,health,0.8,template_generated
early morning snack,ic_utensils_line,food,0.7,contextual
birthday session,ic_people,social,0.9,keyword_variation
training at the gym,ic_run,exercise,0.8,template_generated
outdoor sport,ic_run,exercise,0.8,template_generated
15 minute snack,ic_utensils_line,food,0.7,contextual
go netflix,ic_tv,entertainment,0.9,keyword_variation
15 minute rest,ic_moon_line,sleep,0.7,contextual
dream session,ic_moon_line,sleep,0.9,keyword_variation
go training,ic_run,exercise,0.9,keyword_variation
weekend travel,ic_car,travel,0.8,template_generated
much needed pillow,ic_moon_line,sleep,0.8,template_generated
morning course,ic_note,learning,0.7,contextual
daily professional,ic_briefcase_line,work,0.8,template_generated
exercise with friends,ic_run,exercise,0.8,template_generated
quick kitchen,ic_utensils_line,food,0.8,template_generated
early morning tired,ic_moon_line,sleep,0.7,contextual
exercise,ic_run,exercise,1.0,direct_keyword
restaurant session,ic_utensils_line,food,0.9,keyword_variation
go booking,ic_car,travel,0.9,keyword_variation
preventive dentist,ic_health,health,0.8,template_generated
grabbing lunch,ic_utensils_line,food,0.8,template_generated
30 minute train,ic_car,travel,0.7,contextual
follow-up appointment,ic_health,health,0.8,template_generated
quick food,ic_utensils_line,food,0.8,template_generated
go frienws,ic_people,social,0.81,keyword_variation_typo
watch session,ic_tv,entertainment,0.9,keyword_variation
fitness session,ic_run,exercise,0.9,keyword_variation
evening sleep,ic_moon_line,sleep,0.7,contextual
daily job,ic_briefcase_line,work,0.8,template_generated
late night education,ic_note,learning,0.7,contextual
go lecture,ic_note,learning,0.9,keyword_variation
favorite fun,ic_tv,entertainment,0.8,template_generated
30 minute health,ic_health,health,0.7,contextual
having kitchen,ic_utensils_line,food,0.8,template_generated
go class,ic_note,learning,0.9,keyword_variation
fun date,ic_people,social,0.8,template_generated
neighbor!,ic_people,social,1.0,direct_keyword_punct
family chat,ic_people,social,0.8,template_generated
go fruit,ic_utensils_line,food,0.9,keyword_variation
weekend talk,ic_people,social,0.8,template_generated
go comedy,ic_tv,entertainment,0.9,keyword_variation
1 hour university,ic_note,learning,0.7,contextual
weekend fun,ic_tv,entertainment,0.8,template_generated
afternoon commute,ic_car,travel,0.7,contextual
go bike,ic_run,exercise,0.9,keyword_variation
talk session,ic_people,social,0.9,keyword_variation
social visit,ic_people,social,0.8,template_generated
go drink,ic_utensils_line,food,0.9,keyword_variation
weekend drive,ic_car,travel,0.8,template_generated
go appointment,ic_health,health,0.9,keyword_variation
early morning relax,ic_moon_line,sleep,0.7,contextual
go pillow,ic_moon_line,sleep,0.9,keyword_variation
bedtime,ic_moon_line,sleep,1.0,direct_keyword
self education,ic_note,learning,0.8,template_generated
client,ic_briefcase_line,work,1.0,direct_keyword
30 minute dinner,ic_utensils_line,food,0.7,contextual
urgent medical,ic_health,health,0.8,template_generated
routine therapy,ic_health,health,0.8,template_generated
30 minute fitness,ic_run,exercise,0.8,template_generated
proposal session,ic_briefcase_line,work,0.9,keyword_variation
go fun,ic_tv,entertainment,0.9,keyword_variation
family family,ic_people,social,0.8,template_generated
project business,ic_briefcase_line,work,0.8,template_generated
evening tv,ic_tv,entertainment,0.8,template_generated
daily project,ic_briefcase_line,work,0.8,template_generated
go relationship,ic_people,social,0.9,keyword_variation
go basketball,ic_run,exercise,0.9,keyword_variation
schoolhsession,ic_note,learning,0.81,keyword_variation_typo
focused study,ic_note,learning,0.8,template_generated
online homework,ic_note,learning,0.8,template_generated
time to bed,ic_moon_line,sleep,0.8,template_generated
go audit,ic_briefcase_line,work,0.9,keyword_variation
catching up party,ic_people,social,0.8,template_generated
30 minute game,ic_tv,entertainment,0.7,contextual
quick pillow,ic_moon_line,sleep,0.8,template_generated
office office,ic_briefcase_line,work,0.8,template_generated
nourriture,ic_utensils_line,food,0.9,multilingual_french
pharmacy,ic_health,health,1.0,direct_keyword
late night play,ic_tv,entertainment,0.7,contextual
vacation commute,ic_car,travel,0.8,template_generated
15 minute course,ic_note,learning,0.7,contextual
checkup appointment,ic_health,health,0.8,template_generated
development sesshon,ic_briefcase_line,work,0.81,keyword_variation_typo
30 minute gathering,ic_people,social,0.7,contextual
go medical,ic_health,health,0.9,keyword_variation
late night family,ic_people,social,0.7,contextual
1 hour lunch,ic_utensils_line,food,0.7,contextual
new fun,ic_tv,entertainment,0.8,template_generated
sleep,ic_moon_line,sleep,1.0,direct_keyword
knowledge session,ic_note,learning,0.9,keyword_variation
project office,ic_briefcase_line,work,0.8,template_generated
enjoying game,ic_tv,entertainment,0.8,template_generated
sleep session,ic_moon_line,sleep,0.9,keyword_variation
snack break,ic_utensils_line,food,0.8,template_generated
grabbing kitchen,ic_utensils_line,food,0.8,template_generated
pillow,ic_moon_line,sleep,1.0,direct_keyword
go skill,ic_note,learning,0.9,keyword_variation
programming?,ic_briefcase_line,work,1.0,direct_keyword_punct
early morning entertainment,ic_tv,entertainment,0.7,contextual
hanging out people,ic_people,social,0.8,template_generated
social family,ic_people,social,0.8,template_generated
job!,ic_briefcase_line,work,1.0,direct_keyword_punct
time to nap,ic_moon_line,sleep,0.8,template_generated
15 minute doctor,ic_health,health,0.7,contextual
go traffic,ic_car,travel,0.9,keyword_variation
project job,ic_briefcase_line,work,0.8,template_generated
weekend video,ic_tv,entertainment,0.8,template_generated
go paperwork,ic_briefcase_line,work,0.9,keyword_variation
follow-up dentist,ic_health,health,0.8,template_generated
alarm session,ic_moon_line,sleep,0.9,keyword_variation
self research,ic_note,learning,0.8,template_generated
go baseball,ic_run,exercise,0.9,keyword_variation
task review,ic_briefcase_line,work,0.8,template_generated
exam course,ic_note,learning,0.8,template_generated
focused education,ic_note,learning,0.8,template_generated
travel session,ic_car,travel,0.9,keyword_variation
radio session,ic_tv,entertainment,0.9,keyword_variation
visit,ic_people,social,1.0,direct_keyword
checkup visit,ic_health,health,0.8,template_generated
early morning eat,ic_utensils_line,food,0.7,contextual
flight adventure,ic_car,travel,0.8,template_generated
station session,ic_car,travel,0.9,keyword_variation
afternoon lunch,ic_utensils_line,food,0.7,contextual
late night video,ic_tv,entertainment,0.7,contextual
late night learn,ic_note,learning,0.7,contextual
booking travel,ic_car,travel,0.8,template_generated
late night business,ic_briefcase_line,work,0.7,contextual
new leisure,ic_tv,entertainment,0.8,template_generated
standup meeting,ic_briefcase_line,work,0.9,realistic_pattern
go evening,ic_moon_line,sleep,0.9,keyword_variation
clinic session,ic_health,health,0.9,keyword_variation
football session,ic_run,exercise,0.9,keyword_variation
business travel,ic_car,travel,0.8,template_generated
drive,ic_car,travel,1.0,direct_keyword
listen,ic_tv,entertainment,1.0,direct_keyword
quick exercise,ic_run,exercise,0.8,template_generated
medical consultation,ic_health,health,0.8,template_generated
birthday,ic_people,social,1.0,direct_keyword
health wellness,ic_health,health,0.8,template_generated
cake,ic_utensils_line,food,1.0,direct_keyword
prevention session,ic_health,health,0.9,keyword_variation
afternoon play,ic_tv,entertainment,0.7,contextual
comedy session,ic_tv,entertainment,0.9,keyword_variation
morning career,ic_briefcase_line,work,0.7,contextual
colleague session,ic_people,social,0.9,keyword_variation
15 minute film,ic_tv,entertainment,0.7,contextual
early morning people,ic_people,social,0.7,contextual
peonle session,ic_people,social,0.81,keyword_variation_typo
relaxing film,ic_tv,entertainment,0.8,template_generated
peaceful tired,ic_moon_line,sleep,0.8,template_generated
family dinner,ic_people,social,0.8,realistic_pattern
booking journey,ic_car,travel,0.8,template_generated
intensive homework,ic_note,learning,0.8,template_generated
fun gathering,ic_people,social,0.8,template_generated
1 hour chat,ic_people,social,0.7,contextual
clinic,ic_health,health,1.0,direct_keyword
afternoon social,ic_people,social,0.7,contextual
weekend transport,ic_car,travel,0.8,template_generated
30 minute bus,ic_car,travel,0.7,contextual
evening tired,ic_moon_line,sleep,0.7,contextual
visit!,ic_people,social,1.0,direct_keyword_punct
finally dream,ic_moon_line,sleep,0.8,template_generated
date session,ic_people,social,0.9,keyword_variation
music,ic_tv,entertainment,1.0,direct_keyword
task,ic_briefcase_line,work,1.0,direct_keyword
analysis session,ic_briefcase_line,work,0.9,keyword_variation
go hobby,ic_tv,entertainment,0.9,keyword_variation
quick lunch,ic_utensils_line,food,0.8,template_generated
quick relax,ic_moon_line,sleep,0.8,template_generated
30 minute rest,ic_moon_line,sleep,0.7,contextual
go conversation,ic_people,social,0.9,keyword_variation
health doctor,ic_health,health,0.8,template_generated
project meeting,ic_briefcase_line,work,0.8,template_generated
having food,ic_utensils_line,food,0.8,template_generated
sport,ic_run,exercise,1.0,direct_keyword
afternoon drive,ic_car,travel,0.7,contextual
team employment,ic_briefcase_line,work,0.8,template_generated
go research,ic_briefcase_line,work,0.9,keyword_variation
business review,ic_briefcase_line,work,0.8,template_generated
business flight,ic_car,travel,0.8,template_generated
15 minute project,ic_briefcase_line,work,0.7,contextual
evening lunch,ic_utensils_line,food,0.7,contextual
enjoying film,ic_tv,entertainment,0.8,template_generated
book session,ic_note,learning,0.9,keyword_variation
morning train,ic_car,travel,0.8,template_generated
book,ic_note,learning,1.0,direct_keyword
team retrospective,ic_briefcase_line,work,0.8,realistic_pattern
fitness with friends,ic_run,exercise,0.8,template_generated
peaceful dream,ic_moon_line,sleep,0.8,template_generated
special talk,ic_people,social,0.8,template_generated
go review,ic_briefcase_line,work,0.9,keyword_variation
surgery session,ic_health,health,0.9,keyword_variation
time to sleep,ic_moon_line,sleep,0.8,template_generated
quick nap,ic_moon_line,sleep,0.8,template_generated
new video,ic_tv,entertainment,0.8,template_generated
esporte,ic_run,exercise,0.9,multilingual_portuguese
focused course,ic_note,learning,0.8,template_generated
afternoon work,ic_briefcase_line,work,0.7,contextual
go train,ic_car,travel,0.9,keyword_variation
salad,ic_utensils_line,food,1.0,direct_keyword
hospital,ic_health,health,1.0,direct_keyword
deportes,ic_run,exercise,0.9,multilingual_spanish
15 minute nap,ic_moon_line,sleep,0.7,contextual
go management,ic_briefcase_line,work,0.9,keyword_variation
finally sleep,ic_moon_line,sleep,0.8,template_generated
go deadline...,ic_briefcase_line,work,0.9,keyword_variation_punct
preventive wellness,ic_health,health,0.8,template_generated
morning visit,ic_people,social,0.7,contextual
health appointment,ic_health,health,0.8,template_generated
self university,ic_note,learning,0.8,template_generated
go breakfast,ic_utensils_line,food,0.9,keyword_variation
dinner,ic_people,social,1.0,direct_keyword
deal session,ic_briefcase_line,work,0.9,keyword_variation
go meat,ic_utensils_line,food,0.9,keyword_variation
fun session,ic_tv,entertainment,0.9,keyword_variation
evening food,ic_utensils_line,food,0.7,contextual
outdoor fitness,ic_run,exercise,0.8,template_generated
self book,ic_note,learning,0.8,template_generated
online education,ic_note,learning,0.8,template_generated
bike to work,ic_run,exercise,0.7,realistic_pattern
go highway,ic_car,travel,0.9,keyword_variation
60 minute bike,ic_run,exercise,0.8,template_generated
1 hour movie,ic_tv,entertainment,0.7,contextual
morning sport,ic_run,exercise,0.8,template_generated
1 hour meal,ic_utensils_line,food,0.7,contextual
go youtube,ic_tv,entertainment,0.9,keyword_variation
adventure,ic_tv,entertainment,1.0,direct_keyword
go game,ic_tv,entertainment,0.9,keyword_variation
people session,ic_people,social,0.9,keyword_variation
therapy consultation,ic_health,health,0.8,template_generated
highway session,ic_car,travel,0.9,keyword_variation
medicine appointment,ic_health,health,0.8,template_generated
office work,ic_briefcase_line,work,0.8,template_generated
evening learn,ic_note,learning,0.7,contextual
follow-up health,ic_health,health,0.8,template_generated
pillow session,ic_moon_line,sleep,0.9,keyword_variation
healthy restaurant,ic_utensils_line,food,0.8,template_generated
30 minute social,ic_people,social,0.7,contextual
afternoon office,ic_briefcase_line,work,0.7,contextual
snack prep,ic_utensils_line,food,0.8,template_generated
play session,ic_tv,entertainment,0.9,keyword_variation
therapy,ic_health,health,1.0,direct_keyword
trabajo,ic_briefcase_line,work,0.9,multilingual_spanish
film,ic_tv,entertainment,1.0,direct_keyword
go fish,ic_utensils_line,food,0.9,keyword_variation
healthy meal,ic_utensils_line,food,0.8,template_generated
flight,ic_car,travel,1.0,direct_keyword
routine medical,ic_health,health,0.8,template_generated
time to rest,ic_moon_line,sleep,0.8,template_generated
getting some night,ic_moon_line,sleep,0.8,template_generated
peaceful nap,ic_moon_line,sleep,0.8,template_generated
admin,ic_briefcase_line,work,1.0,direct_keyword
lunch,ic_people,social,1.0,direct_keyword
go hospital,ic_health,health,0.9,keyword_variation
doctor visit,ic_health,health,0.8,template_generated
special visit,ic_people,social,0.8,template_generated
skill learn,ic_note,learning,0.8,template_generated
vegetable,ic_utensils_line,food,1.0,direct_keyword
dinner at home,ic_utensils_line,food,1.0,realistic_pattern
weekend trip,ic_car,travel,0.8,template_generated
nap swssion,ic_moon_line,sleep,0.81,keyword_variation_typo
team business,ic_briefcase_line,work,0.8,template_generated
go relaxation,ic_tv,entertainment,0.9,keyword_variation
go lunch,ic_utensils_line,food,0.9,keyword_variation
skill,ic_note,learning,1.0,direct_keyword
essen,ic_utensils_line,food,0.9,multilingual_german
snack with family,ic_utensils_line,food,0.8,template_generated
15 minute business,ic_briefcase_line,work,0.7,contextual
walk the dog,ic_run,exercise,0.8,realistic_pattern
medical session,ic_health,health,0.9,keyword_variation
quick rest,ic_moon_line,sleep,0.8,template_generated
go road,ic_car,travel,0.9,keyword_variation
strategy session,ic_briefcase_line,work,0.9,keyword_variation
research notes,ic_note,learning,0.8,template_generated
cafe session,ic_utensils_line,food,0.9,keyword_variation
golf session,ic_run,exercise,0.9,keyword_variation
chocolate session,ic_utensils_line,food,0.9,keyword_variation
watching game,ic_tv,entertainment,0.8,template_generated
skiing,ic_run,exercise,1.0,direct_keyword
pizza,ic_utensils_line,food,1.0,direct_keyword
getting some relax,ic_moon_line,sleep,0.8,template_generated
late night commute,ic_car,travel,0.7,contextual
negotiation session,ic_briefcase_line,work,0.9,keyword_variation
rest,ic_moon_line,sleep,1.0,direct_keyword
morning work,ic_briefcase_line,work,0.7,contextual
booking bus,ic_car,travel,0.8,template_generated
homemade cooking,ic_utensils_line,food,0.8,template_generated
research session,ic_note,learning,0.9,keyword_variation
fun social,ic_people,social,0.8,template_generated
diagnosis session,ic_health,health,0.9,keyword_variation
early morning food,ic_utensils_line,food,0.7,contextual
go development,ic_briefcase_line,work,0.9,keyword_variation
transport session,ic_car,travel,0.9,keyword_variation
fun visit,ic_people,social,0.8,template_generated
basketball.,ic_run,exercise,1.0,direct_keyword_punct
deadline session,ic_briefcase_line,work,0.9,keyword_variation
presentation session,ic_briefcase_line,work,0.9,keyword_variation
deep sleep,ic_moon_line,sleep,0.8,template_generated
vacation,ic_car,travel,1.0,direct_keyword
go colleague,ic_people,social,0.9,keyword_variation
lecture session,ic_note,learning,0.9,keyword_variation
business call,ic_briefcase_line,work,0.8,template_generated
quick flight,ic_car,travel,0.8,template_generated
booking commute,ic_car,travel,0.8,template_generated
meeting,ic_briefcase_line,work,1.0,direct_keyword
friends,ic_people,social,1.0,direct_keyword
road session,ic_car,travel,0.9,keyword_variation
30 hours of dream,ic_moon_line,sleep,0.8,template_generated
fun chat,ic_people,social,0.8,template_generated
early morning hospital,ic_health,health,0.7,contextual
team project,ic_briefcase_line,work,0.8,template_generated
bus,ic_car,travel,1.0,direct_keyword
lesson,ic_note,learning,1.0,direct_keyword
climbing session!,ic_run,exercise,0.9,keyword_variation_punct
comedy,ic_tv,entertainment,1.0,direct_keyword
evening checkup,ic_health,health,0.7,contextual
peaceful relax,ic_moon_line,sleep,0.8,template_generated
